ARK | Intel® Product Specification Comparison
12/11/2023 11:25:10 AM
 ,Intel® Celeron® Processor 3965Y ,Intel® Celeron® Processor G3930E ,Intel® Celeron® Processor G3930TE ,Intel® Celeron® Processor N4100 ,Intel® Celeron® Processor N4000 ,Intel® Celeron® J4105 Processor ,Intel® Celeron® J4005 Processor ,Intel® Celeron® G4900 Processor ,Intel® Celeron® G4920 Processor ,Intel® Celeron® G4900T Processor ,Intel® Celeron® Processor G4930T ,Intel® Celeron® Processor G4930 ,Intel® Celeron® Processor G4950 ,Intel® Celeron® Processor 3867U ,Intel® Celeron® Processor 4205U ,Intel® Celeron® Processor 4305U ,Intel® Celeron® Processor 4305UE ,Intel® Celeron® Processor N3350E ,Intel® Celeron® Processor J3455E ,Intel® Celeron® Processor J3355E ,Intel® Celeron® Processor G4932E ,Intel® Celeron® Processor G4930E ,Intel® Celeron® Processor J4125 ,Intel® Celeron® Processor J4025 ,Intel® Celeron® Processor N4120 ,Intel® Celeron® Processor N4020 ,Intel® Celeron® Processor 5305U ,Intel® Celeron® Processor 5205U ,Intel® Celeron® Processor G5900 ,Intel® Celeron® Processor G5900T ,Intel® Celeron® Processor G5920 ,Intel® Celeron® Processor G5905T ,Intel® Celeron® Processor G5925 ,Intel® Celeron® Processor G5905 ,Intel® Celeron® Processor G5900TE ,Intel® Celeron® Processor G5900E ,Intel® Celeron® Processor N6211 ,Intel® Celeron® Processor J6413 ,Intel® Celeron® 6305E Processor ,Intel® Celeron® Processor N4505 ,Intel® Celeron® Processor N4500 ,Intel® Celeron® Processor N5105 ,Intel® Celeron® Processor N5100 ,Intel® Celeron® Processor J6412 ,Intel® Celeron® 6600HE Processor ,Intel® Celeron® Processor 7305E ,Intel® Celeron® Processor 7305L ,Intel® Celeron® D Processor 365 ,Intel® Celeron® M Processor 520 ,Intel® Celeron® M Processor 530 ,Intel® Celeron® Processor 420 ,Intel® Celeron® Processor 430 ,Intel® Celeron® Processor 440 ,Intel® Celeron® Processor 1.83 GHz, 1M Cache, 667 MHz FSB ,Intel® Celeron® Processor 540 ,Intel® Celeron® M Processor ULV 523 ,Intel® Celeron® Processor 530 ,Intel® Celeron® Processor 220 ,Intel® Celeron® Processor 560 ,Intel® Celeron® Processor E1200 ,Intel® Celeron® Processor E1600 ,Intel® Celeron® Processor E1500 ,Intel® Celeron® Processor E1400 ,Intel® Celeron® Processor 450 ,Intel® Celeron® Processor 570 ,Intel® Celeron® Processor 575 ,Intel® Celeron® Processor 585 ,Intel® Celeron® M Processor ULV 723 ,Intel® Celeron® M Processor ULV 722 ,Intel® Celeron® Processor T1700 ,Intel® Celeron® M Processor ULV 743 ,Intel® Celeron® Processor T3100 ,Intel® Celeron® Processor T1600 ,Intel® Celeron® Processor ULV 573 ,Intel® Celeron® Processor 900 ,Intel® Celeron® Processor T3500 ,Intel® Celeron® Processor E3200 ,Intel® Celeron® Processor E3300 ,Intel® Celeron® Processor E3400 ,Intel® Celeron® Processor E3500 ,Intel® Celeron® Processor SU2300 ,Intel® Celeron® Processor T3300 ,Intel® Celeron® Processor P4500 ,Intel® Celeron® Processor P1053 ,Intel® Celeron® Processor P4505 ,Intel® Celeron® Processor U3400 ,Intel® Celeron® Processor U3600 ,Intel® Celeron® Processor U3405 ,Intel® Celeron® Processor P4600 ,Intel® Celeron® Processor G530 ,Intel® Celeron® Processor G530T ,Intel® Celeron® Processor G540 ,Intel® Celeron® Processor G540T ,Intel® Celeron® Processor G550 ,Intel® Celeron® Processor G550T ,Intel® Celeron® Processor ULV 763 ,Intel® Celeron® Processor 925 ,Intel® Celeron® Processor B810 ,Intel® Celeron® Processor B810E ,Intel® Celeron® Processor 847E ,Intel® Celeron® Processor 827E ,Intel® Celeron® Processor 847 ,Intel® Celeron® Processor G440 ,Intel® Celeron® Processor B710 ,Intel® Celeron® Processor B800 ,Intel® Celeron® Processor 787 ,Intel® Celeron® Processor 857 ,Intel® Celeron® Processor B840 ,Intel® Celeron® Processor 807UE ,Intel® Celeron® Processor G460 ,Intel® Celeron® Processor 797 ,Intel® Celeron® Processor 867 ,Intel® Celeron® Processor B815 ,Intel® Celeron® Processor B720 ,Intel® Celeron® Processor 877 ,Intel® Celeron® Processor B820 ,Intel® Celeron® Processor 807 ,Intel® Celeron® Processor 725C ,Intel® Celeron® Processor G555 ,Intel® Celeron® Processor 887 ,Intel® Celeron® Processor G465 ,Intel® Celeron® Processor G1610 ,Intel® Celeron® Processor G1620 ,Intel® Celeron® Processor G1610T ,Intel® Celeron® Processor B830 ,Intel® Celeron® Processor 1020M ,Intel® Celeron® Processor 1037U ,Intel® Celeron® Processor 1000M ,Intel® Celeron® Processor 1007U ,Intel® Celeron® Processor 1020E ,Intel® Celeron® Processor 1047UE ,Intel® Celeron® Processor 927UE ,Intel® Celeron® Processor G470 ,Intel® Celeron® Processor 1019Y ,Intel® Celeron® Processor 1017U ,Intel® Celeron® Processor 1005M ,Intel® Celeron® Processor 2955U ,Intel® Celeron® Processor 2000E ,Intel® Celeron® Processor 2002E ,Intel® Celeron® Processor G1630 ,Intel® Celeron® Processor G1620T ,Intel® Celeron® Processor J1850 ,Intel® Celeron® Processor J1750 ,Intel® Celeron® Processor 2980U ,Intel® Celeron® Processor N2910 ,Intel® Celeron® Processor N2810 ,Intel® Celeron® Processor N2805 ,Intel® Celeron® Processor 2950M ,Intel® Celeron® Processor J1800 ,Intel® Celeron® Processor J1900 ,Intel® Celeron® Processor 2957U ,Intel® Celeron® Processor 2961Y ,Intel® Celeron® Processor 2981U ,Intel® Celeron® Processor G1830 ,Intel® Celeron® Processor G1820 ,Intel® Celeron® Processor G1820T ,Intel® Celeron® Processor G1820TE ,Intel® Celeron® Processor N2806 ,Intel® Celeron® Processor N2815 ,Intel® Celeron® Processor N2820 ,Intel® Celeron® Processor N2920 ,Intel® Celeron® Processor G1850 ,Intel® Celeron® Processor G1840 ,Intel® Celeron® Processor G1840T ,Intel® Celeron® Processor 2970M ,Intel® Celeron® Processor N2830 ,Intel® Celeron® Processor N2807 ,Intel® Celeron® Processor N2930 ,Intel® Celeron® Processor N2808 ,Intel® Celeron® Processor N2840 ,Intel® Celeron® Processor N2940 ,Intel® Celeron® Processor 3205U ,Intel® Celeron® Processor 3215U ,Intel® Celeron® Processor 3755U ,Intel® Celeron® Processor 3765U ,Intel® Celeron® Processor N3050 ,Intel® Celeron® Processor N3150 ,Intel® Celeron® Processor N3000 ,Intel® Celeron® Processor G3902E ,Intel® Celeron® Processor G3900TE ,Intel® Celeron® Processor G3900E ,Intel® Celeron® Processor G3920 ,Intel® Celeron® Processor G3900T ,Intel® Celeron® Processor G3900 ,Intel® Celeron® Processor J3160 ,Intel® Celeron® Processor J3060 ,Intel® Celeron® Processor N3010 ,Intel® Celeron® Processor N3160 ,Intel® Celeron® Processor N3060 ,Intel® Celeron® Processor 3855U ,Intel® Celeron® Processor 3955U ,Intel® Celeron® Processor J3455 ,Intel® Celeron® Processor N3450 ,Intel® Celeron® Processor J3355 ,Intel® Celeron® Processor N3350 ,Intel® Celeron® Processor 3965U ,Intel® Celeron® Processor 3865U ,Intel® Celeron® Processor G3950 ,Intel® Celeron® Processor G3930 ,Intel® Celeron® Processor G3930T 
Essentials
Product Collection,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 4000 Series,Intel® Celeron® Processor 4000 Series,Intel® Celeron® Processor 4000 Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor 5000 Series,Intel® Celeron® Processor 5000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor 6000 Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor 6000 Series,Intel® Celeron® Processor 7000 Series,Intel® Celeron® Processor 7000 Series,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Legacy Intel® Celeron® Processor,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor 2000 Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series,Intel® Celeron® Processor G Series
Vertical Segment,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Mobile,Desktop,Desktop,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Desktop,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop
Processor Number,3965Y,G3930E,G3930TE,N4100,N4000,J4105,J4005,G4900,G4920,G4900T,G4930T,G4930,G4950,3867U,4205U,4305U,4305UE,N3350E,J3455E,J3355E,G4932E,G4930E,J4125,J4025,N4120,N4020,5305U,5205U,G5900,G5900T,G5920,G5905T,G5925,G5905,G5900TE,G5900E,N6211,J6413,6305E,N4505,N4500,N5105,N5100,J6412,6600HE,7305E,7305L,365,520,530,420,430,440,,540,523,530,220,560,E1200,E1600,E1500,E1400,450,570,575,585,723,722,T1700,743,T3100,T1600,573,900,T3500,E3200,E3300,E3400,E3500,SU2300,T3300,P4500,P1053,P4505,U3400,U3600,U3405,P4600,G530,G530T,G540,G540T,G550,G550T,763,925,B810,B810E,847E,827E,847,G440,B710,B800,787,857,B840,807UE,G460,797,867,B815,B720,877,B820,807,725C,G555,887,G465,G1610,G1620,G1610T,B830,1020M,1037U,1000M,1007U,,1047UE,927UE,G470,1019Y,1017U,1005M,2955U,2000E,2002E,G1630,G1620T,J1850,J1750,2980U,N2910,N2810,N2805,2950M,J1800,J1900,2957U,2961Y,2981U,G1830,G1820,G1820T,G1820TE,N2806,N2815,N2820,N2920,G1850,G1840,G1840T,2970M,N2830,N2807,N2930,N2808,N2840,N2940,3205U,3215U,3755U,3765U,N3050,N3150,N3000,G3902E,G3900TE,G3900E,G3920,G3900T,G3900,J3160,J3060,N3010,N3160,N3060,3855U,3955U,J3455,N3450,J3355,N3350,3965U,3865U,G3950,G3930,G3930T
Lithography,14 nm,,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,10 nm SuperFin,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm SuperFin,Intel 7,Intel 7,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,45 nm,65 nm,45 nm,45 nm,65 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,,32 nm,32 nm,32 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,32 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet,,,PC/Client/Tablet,,,,,,,PC/Client/Tablet,,,,,Communications,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,PC/Client/Tablet,,,,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,Communications,,,,,PC/Client/Tablet,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,Industrial Commercial Temp,Industrial Commercial Temp,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,,,PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,
Recommended Customer Price,$107.00,$42.00,$42.00,,,,,$42.00,,$42.00,$42.00,$42.00,$52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$37.00,,,,,,,,,$58.00,$47.00,,,,,,,$161.00,,,$62.00,,,,,$47.00,$47.00,$42.00,$52.00,,,,$153.00,$68.00,,,,,$42.00,,$42.00,,$42.00,,,,,,,,$134.00,,,,,,$86.00,,$37.00,,,,,,,,,$52.00,,$37.00,$42.00,$42.00,$42.00,,,,,,,,,$37.00,,,,,,,$52.00,,,,,,,,,$22.00,$35.00,,,,$52.00,$42.00,,,,,,,$52.00,$42.00,$42.00,,,$31.00,$41.00,,$107.00,,,,,$107.00,,,,$107.00,$42.00,$107.00,,,$42.00,$107.00,$107.00,$20.00,$31.00,$20.00,,$107.00,$31.00,$107.00,$24.00,$24.00,$107.00,,,,

CPU Specifications
Total Cores,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,4,4,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,1,,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2
Total Threads,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,4,4,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,1,,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2
